Description,link,sno
"HamithaFabric: Handloom Double Mercerised Dharwad Cotton 
 Sleeve: 19 inches 
Style: Basic Side Slit Kurti with butter crepe lining
 Length: 39 Inches
 Colour: Dark skin",https://instore.co.in//collections/offers/products/hamitha,50
"DravinaFabric: South cotton with hand Block Printed Rayon with embroidery in waist line
 Sleeve: 19 inches 
Style:  Basic side slit kurti  
Length: 42 Inches  
Colour: Rust & Lime Green",https://instore.co.in//collections/offers/products/dravina,51
"SagastaFabric : Synthetic 
Style : Anarkali with Embroidery work in Front Yoke .
Length: Kurtis - 46 Inches,
Sleeve - 6 Inches
Color: Gold",https://instore.co.in//collections/offers/products/sagasta,52
"Ombre Love PinkFabric: Ombre Dyed Georgette 
Lining Fabric : Butter Crepe
Sleeve: 3/4th Sleeve  
Style:Steal the spot light in this Georgette Ombre dyed A-line kurti/dress that comes with an Unique Aari hand work in front yoke.
Length: Kurti - 50 Inches; Sleeve-14.5 Inches
Color: Pink Ombre",https://instore.co.in//collections/offers/products/ombrelove-pink,53
"SubhikshaFabric:Silk Cotton 
Sleeve:Short Sleeve 
Style:Aline Kurti with Contrast Borderwork
Length: Kurti -47 Inches 
Colour: Dark Grey,DarkPink,Navy Blue",https://instore.co.in//collections/offers/products/subhiksha,54
"PanjumittaiFabric: Poly silk. 
Sleeve: 16.5 inches.
 Style: Printed Polysilk Anarkali With Show Buttons. (Lining In Front And Back Yoke) 
Length: 53 Inches. 
Color: Pink.",https://instore.co.in//collections/offers/products/panjumittai,55
"Autumn  GreenFabric: South cotton
 Sleeve: 5 Inches 
Style: Full flared anarkali 
 Length: 50 Inches 
Colour: Lime green & Off white",https://instore.co.in//collections/offers/products/autumn-green,56
"AmaraFabric: Cotton
 Sleeve: 18 inches 
Style: Full Flared Mercerized Handloom Cotton Anarkali with Transparent Net in Border & Sleeve
 Length: 51.5 Inches
 Color: Black",https://instore.co.in//collections/offers/products/amara,57
"Ponninadhi BrownFabric: Double mercericed Classic handloom kurti with synthetic lining
 Sleeve: 19 inches 
Style:  Basic side slit kurti  
Length: 39.5 Inches  
Colour: Dark Mustard & Maroon",https://instore.co.in//collections/offers/products/ponninadhi-brown,58
"Ombre Love NavyFabric: Ombre Dyed Georgette 
Lining Fabric : Butter Crepe
Sleeve: 3/4th Sleeve  
Style: Steal the spot light in this Georgette Ombre dyed A-line kurti/dress that comes with an Unique Aari hand work in front yoke.
Length: Kurti - 50 Inches Sleeve-14.5 Inches
Color: Navy Ombre",https://instore.co.in//collections/offers/products/ombrelove-navy,59
"jasmitFabric:Cotton 
Sleeve:18 Inches 
Style:Straight Cut Kurti with Side Slit
Length: 46 Inches
Colour: Black & Yellow",https://instore.co.in//collections/offers/products/jasmit,60
"GobhikaFabric: Cotton 
Sleeve: 19 Inches Sleeve 
Style: Anarkali with side slit
Length: Kurti -46 Inches , Sleeve - 19 Inches 
Colour: Black & Pink",https://instore.co.in//collections/offers/products/gobhika,61
"EyalFabric: Silk Cotton
 Sleeve:18 inches 
Style: Mirror work Straight Cut kurti
 Length: 47.5 Inches
 Colour: Peacock Blue",https://instore.co.in//collections/offers/products/eyal,62
"NirjaFabric: South Cotton
Sleeve:Short Sleeve  
Style: Aline Kurti  with Side Slit 
Length: 46 Inches 
Colour: Brown",https://instore.co.in//collections/offers/products/nirja,63
"BoorniFabric: South Cotton & Multicolor Ikkat
 Sleeve: 10 inches
 Style: High-Low Full Flared Anarkali with ruffled border
Length: 50 Inches 
 Colour: Peach & Violet",https://instore.co.in//collections/offers/products/boorni,64
